Product No.	Product Description	U O M	Quantity	Unit Price	Total
42-50000-03	pluriStrainer Funnel, pluriStrainer accessories 25pc with the same LOT. 	25	1	40.30	40.30
43-10030-50	pluriStrainer Mini cell strainer, PET sieve fabric, mesh 	50	1	59.50	59.50
43-50040-51	pluriStrainer cell strainer 40 MUm mesh size, PET sieve 	50	1	45.50	45.50
43-50150-03	pluriStrainer cell strainer, PET sieve fabric, mesh size 	25	3	57.00	171.00
